title_id,Date,ku_borrows
0,4/21/18,3
0,4/22/18,6
0,4/23/18,1
0,4/24/18,0
0,4/25/18,3
0,4/26/18,5
0,4/27/18,1
0,4/28/18,2
0,4/29/18,1
0,4/30/18,6
0,5/1/18,4
0,5/2/18,4
0,5/3/18,1
0,5/4/18,0
0,5/5/18,6
0,5/6/18,10
0,5/7/18,3
0,5/8/18,0
0,5/9/18,0
0,5/10/18,
0,5/11/18,4
0,5/12/18,1
0,5/13/18,2
0,5/14/18,7
0,5/15/18,9
0,5/16/18,6
0,5/17/18,1
0,5/18/18,4
0,5/19/18,5
0,5/20/18,2
0,5/21/18,4
0,5/22/18,2
0,5/23/18,1
0,5/24/18,4
0,5/25/18,5
0,5/26/18,5
0,5/27/18,1
0,5/28/18,6
0,5/29/18,5
0,5/30/18,6
0,5/31/18,4
0,6/1/18,7
0,6/2/18,12
0,6/3/18,8
0,6/4/18,4
0,6/5/18,2
0,6/6/18,13
0,6/7/18,5
0,6/8/18,6
0,6/9/18,2
0,6/10/18,10
0,6/11/18,2
0,6/12/18,6
0,6/13/18,8
0,6/14/18,10
0,6/15/18,18
0,6/16/18,4
0,6/17/18,3
0,6/18/18,3
0,6/19/18,2
0,6/20/18,6
0,6/21/18,9
0,6/22/18,5
0,6/23/18,7
0,6/24/18,12
0,6/25/18,14
0,6/26/18,9
0,6/27/18,6
0,6/28/18,3
0,6/29/18,11
0,6/30/18,6
0,7/1/18,10
0,7/2/18,15
0,7/3/18,8
0,7/4/18,15
0,7/5/18,16
0,7/6/18,19
0,7/7/18,4
0,7/8/18,15
0,7/9/18,16
0,7/10/18,15
0,7/11/18,11
0,7/12/18,14
0,7/13/18,10
0,7/14/18,12
0,7/15/18,7
0,7/16/18,10
0,7/17/18,11
0,7/18/18,15
0,7/19/18,11
0,7/20/18,7
0,7/21/18,7
0,7/22/18,10
0,7/23/18,1
0,7/24/18,3
0,7/25/18,10
0,7/26/18,9
0,7/27/18,8
0,7/28/18,3
0,7/29/18,6
0,7/30/18,18
0,7/31/18,10
0,8/1/18,11
0,8/2/18,11
0,8/3/18,4
0,8/4/18,9
0,8/5/18,7
0,8/6/18,11
0,8/7/18,12
0,8/8/18,8
0,8/9/18,10
0,8/10/18,5
0,8/11/18,8
0,8/12/18,16
0,8/13/18,10
0,8/14/18,5
0,8/15/18,9
0,8/16/18,4
0,8/17/18,6
0,8/18/18,6
0,8/19/18,16
0,8/20/18,10
0,8/21/18,1
0,8/22/18,5
0,8/23/18,9
0,8/24/18,3
0,8/25/18,9
0,8/26/18,11
0,8/27/18,3
0,8/28/18,4
0,8/29/18,4
0,8/30/18,6
0,8/31/18,5
0,9/1/18,4
0,9/2/18,11
0,9/3/18,16
0,9/4/18,14
0,9/5/18,14
0,9/6/18,7
0,9/7/18,
0,9/8/18,14
0,9/9/18,6
0,9/10/18,14
0,9/11/18,7
0,9/12/18,8
0,9/13/18,4
0,9/14/18,6
0,9/15/18,4
0,9/16/18,12
0,9/17/18,6
0,9/18/18,4
0,9/19/18,9
0,9/20/18,4
0,9/21/18,7
0,9/22/18,5
0,9/23/18,2
0,9/24/18,2
0,9/25/18,12
0,9/26/18,1
0,9/27/18,10
0,9/28/18,8
0,9/29/18,5
0,9/30/18,6
0,10/1/18,14
0,10/2/18,9
0,10/3/18,7
0,10/4/18,5
0,10/5/18,10
0,10/6/18,10
0,10/7/18,13
0,10/8/18,8
0,10/9/18,5
0,10/10/18,9
0,10/11/18,2
0,10/12/18,4
0,10/13/18,7
0,10/14/18,10
0,10/15/18,10
0,10/16/18,9
0,10/17/18,7
0,10/18/18,7
0,10/19/18,7
0,10/20/18,14
0,10/21/18,6
0,10/22/18,3
0,10/23/18,7
0,10/24/18,5
0,10/25/18,6
0,10/26/18,2
0,10/27/18,6
0,10/28/18,11
0,10/29/18,5
0,10/30/18,2
0,10/31/18,6
0,11/1/18,6
0,11/2/18,9
0,11/3/18,13
0,11/4/18,4
0,11/5/18,10
0,11/6/18,2
0,11/7/18,11
0,11/8/18,5
0,11/9/18,4
0,11/10/18,9
0,11/11/18,9
0,11/12/18,6
0,11/13/18,4
0,11/14/18,4
0,11/15/18,6
0,11/16/18,7
0,11/17/18,7
0,11/18/18,7
0,11/19/18,6
0,11/20/18,14
0,11/21/18,3
0,11/22/18,4
0,11/23/18,9
0,11/24/18,8
0,11/25/18,6
0,11/26/18,13
0,11/27/18,6
0,11/28/18,12
0,11/29/18,2
0,11/30/18,3
0,12/1/18,3
0,12/2/18,22
0,12/3/18,10
0,12/4/18,9
0,12/5/18,7
0,12/6/18,5
0,12/7/18,3
0,12/8/18,10
0,12/9/18,6
0,12/10/18,6
0,12/11/18,8
0,12/12/18,9
0,12/13/18,5
0,12/14/18,5
0,12/15/18,6
0,12/16/18,8
0,12/17/18,5
0,12/18/18,10
0,12/19/18,8
0,12/20/18,8
0,12/21/18,4
0,12/22/18,2
0,12/23/18,7
0,12/24/18,12
0,12/25/18,18
0,12/26/18,19
0,12/27/18,16
0,12/28/18,11
0,12/29/18,15
0,12/30/18,18
0,12/31/18,13
0,1/1/19,13
0,1/2/19,13
0,1/3/19,11
0,1/4/19,13
0,1/5/19,19
0,1/6/19,15
0,1/7/19,11
0,1/8/19,6
0,1/9/19,7
0,1/10/19,6
0,1/11/19,15
0,1/12/19,6
0,1/13/19,13
0,1/14/19,12
0,1/15/19,9
0,1/16/19,11
0,1/17/19,9
0,1/18/19,12
0,1/19/19,9
0,1/20/19,14
0,1/21/19,5
0,1/22/19,7
0,1/23/19,13
0,1/24/19,10
0,1/25/19,4
0,1/26/19,3
0,1/27/19,12
0,1/28/19,10
0,1/29/19,4
0,1/30/19,7
0,1/31/19,3
0,2/1/19,7
0,2/2/19,8
0,2/3/19,8
0,2/4/19,6
0,2/5/19,2
0,2/6/19,0
0,2/7/19,4
0,2/8/19,2
0,2/9/19,7
0,2/10/19,6
0,2/11/19,5
0,2/12/19,3
0,2/13/19,5
0,2/14/19,10
0,2/15/19,0
0,2/16/19,9
0,2/17/19,10
0,2/18/19,7
0,2/19/19,9
0,2/20/19,5
0,2/21/19,3
0,2/22/19,2
0,2/23/19,1
0,2/24/19,9
0,2/25/19,9
0,2/26/19,3
0,2/27/19,0
0,2/28/19,5
0,3/1/19,7
0,3/2/19,7
0,3/3/19,6
0,3/4/19,2
0,3/5/19,6
0,3/6/19,4
0,3/7/19,2
0,3/8/19,3
0,3/9/19,4
0,3/10/19,7
0,3/11/19,9
0,3/12/19,3
0,3/13/19,5
0,3/14/19,2
0,3/15/19,4
0,3/16/19,4
0,3/17/19,6
0,3/18/19,6
0,3/19/19,7
0,3/20/19,6
0,3/21/19,2
0,3/22/19,2
0,3/23/19,6
0,3/24/19,6
0,3/25/19,4
0,3/26/19,9
0,3/27/19,9
0,3/28/19,1
0,3/29/19,3
0,3/30/19,9
0,3/31/19,0
0,4/1/19,6
0,4/2/19,2
0,4/3/19,0
0,4/4/19,5
0,4/5/19,5
0,4/6/19,3
0,4/7/19,7
0,4/8/19,0
0,4/9/19,6
0,4/10/19,7
0,4/11/19,4
0,4/12/19,6
0,4/13/19,6
0,4/14/19,4
0,4/15/19,7
